[ 2025-05-15 21:10:01,812 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-15 21:10:04,217 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-15 21:10:04,217 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-15 21:10:04,217 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-15 21:10:04,249 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-15 21:10:04,249 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-15 21:10:04,303 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-15 21:10:04,377 ] 32 root - INFO - Required number of columns:2
[ 2025-05-15 21:10:04,377 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-15 21:10:04,377 ] 32 root - INFO - Required number of columns:2
[ 2025-05-15 21:10:04,377 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-15 21:10:04,536 ] 28 root - INFO - data Validation Completed
[ 2025-05-15 21:10:04,536 ] 32 root - INFO - data Transformation started
[ 2025-05-15 21:10:04,536 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-15 21:10:04,536 ] 65 root - INFO - Starting data transformation
[ 2025-05-15 21:10:04,572 ] 48 root - INFO - Entered get_data_trnasformer_object method of Transformation class
[ 2025-05-15 21:10:04,572 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-15 21:10:04,584 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-15 21:10:04,584 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-15 21:10:04,584 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-15 21:10:04,590 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-15 21:10:04,591 ] 36 root - INFO - data Transformation completed
[ 2025-05-15 21:10:04,591 ] 38 root - INFO - Model Training started
